season,team_id,team_code,mlb_org_id,mlb_org
2008,159,aas,,
2008,2710,alc,,
2008,110,bal,110,Baltimore Orioles
2008,111,bos,111,Boston Red Sox
2008,145,cha,145,Chicago White Sox
2008,114,cle,114,Cleveland Indians
2008,116,det,116,Detroit Tigers
2008,118,kca,118,Kansas City Royals
2008,108,ana,108,Los Angeles Angels
2008,142,min,142,Minnesota Twins
2008,147,nya,147,New York Yankees
2008,133,oak,133,Oakland Athletics
2008,136,sea,136,Seattle Mariners
2008,139,tba,139,Tampa Bay Rays
2008,140,tex,140,Texas Rangers
2008,21,zza,,
2008,141,tor,141,Toronto Blue Jays
2008,109,ari,109,Arizona Diamondbacks
2008,144,atl,144,Atlanta Braves
2008,112,chn,112,Chicago Cubs
2008,113,cin,113,Cincinnati Reds
2008,115,col,115,Colorado Rockies
2008,146,flo,146,Miami Marlins
2008,117,hou,117,Houston Astros
2008,119,lan,119,Los Angeles Dodgers
2008,158,mil,158,Milwaukee Brewers
2008,160,nas,,
2008,121,nyn,121,New York Mets
2008,143,phi,143,Philadelphia Phillies
2008,134,pit,134,Pittsburgh Pirates
2008,135,sdn,135,San Diego Padres
2008,137,sfn,137,San Francisco Giants
2008,138,sln,138,St. Louis Cardinals
2008,31,zzn,,
2008,120,was,120,Washington Nationals
2008,11,ooc,,
2008,422,buf,114,Cleveland Indians
2008,494,chr,145,Chicago White Sox
2008,445,col,120,Washington Nationals
2008,234,dub,139,Tampa Bay Rays
2008,484,ind,134,Pittsburgh Pirates
2008,62,ila,,
2008,1410,lhv,143,Philadelphia Phillies
2008,416,lou,113,Cincinnati Reds
2008,568,nor,110,Baltimore Orioles
2008,533,paw,111,Boston Red Sox
2008,431,ric,144,Atlanta Braves
2008,534,roc,142,Minnesota Twins
2008,531,swb,147,New York Yankees
2008,552,syr,141,Toronto Blue Jays
2008,35,tbi,,
2008,512,tol,116,Detroit Tigers
2008,342,alb,146,Miami Marlins
2008,551,csp,115,Colorado Rockies
2008,259,fre,137,San Francisco Giants
2008,451,iow,112,Chicago Cubs
2008,400,lvg,119,Los Angeles Dodgers
2008,235,mrb,138,St. Louis Cardinals
2008,556,nas,158,Milwaukee Brewers
2008,588,noz,121,New York Mets
2008,238,orh,140,Texas Rangers
2008,541,oma,118,Kansas City Royals
2008,63,pca,,
2008,248,por,135,San Diego Padres
2008,102,rre,117,Houston Astros
2008,105,src,133,Oakland Athletics
2008,561,slc,108,Los Angeles Angels
2008,529,tac,136,Seattle Mariners
2008,36,tbp,,
2008,549,tuc,109,Arizona Diamondbacks
2008,560,mva,11,Office of the Commissioner
2008,532,mxo,11,Office of the Commissioner
2008,575,chi,11,Office of the Commissioner
2008,579,oax,11,Office of the Commissioner
2008,496,yuc,11,Office of the Commissioner
2008,732,mxn,,
2008,733,mxs,,
2008,442,tab,11,Office of the Commissioner
2008,520,pue,11,Office of the Commissioner
2008,1210,min,11,Office of the Commissioner
2008,523,cam,11,Office of the Commissioner
2008,434,tij,11,Office of the Commissioner
2008,536,vra,11,Office of the Commissioner
2008,502,slt,11,Office of the Commissioner
2008,562,mty,11,Office of the Commissioner
2008,528,lar,11,Office of the Commissioner
2008,569,qui,11,Office of the Commissioner
2008,447,vaq,11,Office of the Commissioner
2008,402,akr,114,Cleveland Indians
2008,452,alt,134,Pittsburgh Pirates
2008,505,bin,121,New York Mets
2008,418,bow,110,Baltimore Orioles
2008,514,nrw,137,San Francisco Giants
2008,66,eln,,
2008,67,els,,
2008,106,esw,116,Detroit Tigers
2008,547,har,120,Washington Nationals
2008,538,nbr,142,Minnesota Twins
2008,463,nhm,141,Toronto Blue Jays
2008,546,prt,111,Boston Red Sox
2008,522,rea,143,Philadelphia Phillies
2008,39,tbe,,
2008,567,tre,147,New York Yankees
2008,247,bir,145,Chicago White Sox
2008,249,cmc,146,Miami Marlins
2008,498,cng,113,Cincinnati Reds
2008,559,hun,158,Milwaukee Brewers
2008,564,jax,119,Los Angeles Dodgers
2008,430,msb,144,Atlanta Braves
2008,417,mob,109,Arizona Diamondbacks
2008,421,mon,139,Tampa Bay Rays
2008,68,son,,
2008,69,sos,,
2008,553,ten,112,Chicago Cubs
2008,38,tbs,,
2008,104,wtd,136,Seattle Mariners
2008,574,ark,108,Los Angeles Angels
